Metric,text-ada-001,ada (350M),Cohere small v20220720 (410M),babbage (1.3B),text-babbage-001,GPT-J (6B),text-curie-001,curie (6.7B),J1-Large v1 (7.5B),TNLG v2 (6.7B),Cohere medium v20220720 (6.1B),GPT-NeoX (20B),Cohere medium v20221108 (6.1B),Jurassic-2 Large (7.5B),Cohere large v20220720 (13.1B),J1-Grande v1 (17B),BLOOM (176B),OPT (66B),Cohere Command beta (6.1B),J1-Grande v2 beta (17B),J1-Jumbo v1 (178B),davinci (175B),Jurassic-2 Grande (17B),Jurassic-2 Jumbo (178B),OPT (175B),TNLG v2 (530B),Anthropic-LM v4-s3 (52B),Cohere xlarge v20221108 (52.4B),Cohere Command beta (52.4B),Cohere xlarge v20220609 (52.4B),text-davinci-002,text-davinci-003,Llama 2 (70B),LLaMA (65B),Mistral v0.1 (7B),Llama 2 (13B),gpt-3.5-turbo-0613,LLaMA (30B),gpt-3.5-turbo-0301,Palmyra X (43B),Falcon (40B),Falcon-Instruct (40B),MPT-Instruct (30B),MPT (30B),Vicuna v1.3 (13B),Luminous Supreme (70B),Vicuna v1.3 (7B),Llama 2 (7B),LLaMA (13B),InstructPalmyra (30B),LLaMA (7B),RedPajama-INCITE-Instruct (7B),GLM (130B),Luminous Extended (30B),Alpaca (7B),Falcon (7B),RedPajama-INCITE-Base (7B),RedPajama-INCITE-Instruct-v1 (3B),Luminous Base (13B),RedPajama-INCITE-Base-v1 (3B),Pythia (12B),Falcon-Instruct (7B),T0pp (11B),Pythia (6.9B),UL2 (20B),T5 (11B),YaLM (100B),Pythia (1B),code-davinci-002,code-cushman-001 (12B),GPT-4 (0613),GPT-4 Turbo (1106 preview),Palmyra X V3 (72B),Palmyra X V2 (33B),PaLM-2 (Unicorn),Yi (34B),Mixtral (8x7B 32K seqlen),Anthropic Claude v1.3,PaLM-2 (Bison),Anthropic Claude 2.0,GPT-3.5 (text-davinci-003),Anthropic Claude 2.1,Anthropic Claude Instant 1.2,GPT-3.5 (text-davinci-002),GPT-3.5 Turbo (0613),Cohere Command,Yi (6B),Cohere Command Light
MMLU - EM,81.0,76.0,70.0,84.0,85.0,75.0,82.0,76.0,80.0,79.0,63.0,64.0,74.0,53.0,54.0,68.0,59.0,64.0,43.0,35.0,72.0,40.0,31.0,30.0,57.0,32.0,29.0,48.0,34.0,51.0,20.0,19.0,17.0,16.0,18.0,27.0,45.0,23.0,15.0,13.0,26.0,28.0,36.0,37.0,33.0,49.0,38.0,39.0,40.0,44.0,55.0,50.0,52.0,55.0,47.0,62.0,58.0,73.0,68.0,71.0,67.0,66.0,42.0,83.0,60.0,61.0,76.0,,,,1.0,4.0,2.0,11.0,2.0,5.0,6.0,9.0,14.0,8.0,22.0,7.0,9.0,20.0,12.0,25.0,24.0,46.0
BoolQ - EM,64.0,62.0,65.0,63.0,66.0,58.0,61.0,57.0,52.0,50.0,56.0,52.0,49.0,36.0,38.0,39.0,47.0,30.0,20.0,16.0,24.0,39.0,13.0,11.0,21.0,18.0,15.0,27.0,9.0,43.0,4.0,3.0,2.0,6.0,5.0,17.0,7.0,8.0,37.0,1.0,14.0,11.0,10.0,47.0,19.0,25.0,30.0,27.0,44.0,34.0,32.0,46.0,22.0,26.0,23.0,33.0,45.0,54.0,42.0,51.0,55.0,41.0,67.0,60.0,35.0,29.0,59.0,,,,,,,,,,,,,,,,,,,,,
NarrativeQA - F1,81.0,78.0,79.0,74.0,76.0,71.0,68.0,64.0,58.0,53.0,69.0,65.0,62.0,,55.0,40.0,46.0,50.0,30.0,21.0,34.0,37.0,12.0,13.0,42.0,23.0,17.0,40.0,6.0,48.0,18.0,18.0,2.0,5.0,27.0,10.0,55.0,6.0,45.0,11.0,39.0,55.0,13.0,15.0,35.0,28.0,49.0,35.0,28.0,73.0,43.0,50.0,31.0,44.0,77.0,59.0,60.0,50.0,63.0,70.0,66.0,75.0,82.0,72.0,84.0,83.0,80.0,,,,3.0,18.0,31.0,6.0,67.0,1.0,4.0,22.0,25.0,25.0,16.0,38.0,61.0,24.0,47.0,9.0,33.0,54.0
NaturalQuestions (closed-book) - F1,85.0,80.0,81.0,79.0,82.0,76.0,74.0,66.0,72.0,61.0,73.0,71.0,66.0,51.0,57.0,56.0,60.0,53.0,59.0,36.0,46.0,40.0,30.0,21.0,44.0,22.0,48.0,29.0,27.0,41.0,23.0,15.0,1.0,6.0,28.0,25.0,31.0,13.0,19.0,10.0,17.0,24.0,43.0,32.0,33.0,46.0,49.0,36.0,33.0,39.0,44.0,57.0,77.0,54.0,52.0,50.0,55.0,64.0,65.0,62.0,74.0,69.0,84.0,78.0,63.0,69.0,83.0,,,,2.0,4.0,14.0,7.0,4.0,3.0,9.0,12.0,19.0,7.0,10.0,26.0,35.0,16.0,38.0,18.0,42.0,68.0
NaturalQuestions (open-book) - F1,84.0,78.0,81.0,76.0,80.0,68.0,65.0,69.0,71.0,67.0,74.0,53.0,73.0,58.0,64.0,63.0,47.0,53.0,12.0,44.0,55.0,44.0,39.0,32.0,48.0,37.0,19.0,43.0,8.0,55.0,13.0,5.0,27.0,30.0,18.0,40.0,25.0,33.0,46.0,,25.0,33.0,17.0,29.0,19.0,36.0,42.0,50.0,49.0,23.0,58.0,35.0,37.0,52.0,57.0,62.0,60.0,40.0,66.0,72.0,61.0,77.0,83.0,70.0,79.0,75.0,82.0,,,,2.0,7.0,22.0,9.0,27.0,4.0,15.0,15.0,1.0,31.0,5.0,50.0,11.0,14.0,24.0,3.0,10.0,19.0
QuAC - F1,62.0,60.0,61.0,55.0,53.0,42.0,31.0,46.0,43.0,36.0,54.0,45.0,47.0,,37.0,26.0,27.0,33.0,22.0,18.0,31.0,29.0,13.0,7.0,29.0,20.0,10.0,23.0,9.0,27.0,6.0,1.0,4.0,16.0,12.0,11.0,3.0,20.0,2.0,5.0,51.0,24.0,44.0,17.0,15.0,25.0,18.0,14.0,35.0,8.0,37.0,58.0,56.0,34.0,57.0,41.0,39.0,59.0,40.0,50.0,48.0,49.0,65.0,52.0,64.0,66.0,63.0,,,,,,,,,,,,,,,,,,,,,
HellaSwag - EM,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenbookQA - EM,50.0,48.0,49.0,46.0,45.0,39.0,39.0,42.0,39.0,44.0,43.0,37.0,32.0,36.0,30.0,38.0,33.0,33.0,28.0,25.0,33.0,21.0,30.0,26.0,21.0,24.0,26.0,20.0,23.0,28.0,19.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,7.0,3.0,5.0,10.0,6.0,7.0,11.0,14.0,9.0,12.0,16.0,13.0,17.0,15.0,47.0
TruthfulQA - EM,34.0,42.0,40.0,59.0,33.0,52.0,25.0,34.0,54.0,66.0,58.0,41.0,42.0,28.0,62.0,56.0,47.0,51.0,49.0,19.0,64.0,55.0,14.0,7.0,27.0,26.0,12.0,65.0,24.0,53.0,2.0,4.0,5.0,6.0,8.0,17.0,16.0,15.0,3.0,1.0,13.0,10.0,31.0,36.0,9.0,37.0,20.0,23.0,18.0,60.0,21.0,29.0,39.0,38.0,29.0,31.0,47.0,46.0,61.0,22.0,63.0,44.0,11.0,44.0,56.0,67.0,50.0,,,,,,,,,,,,,,,,,,,,,
MS MARCO (regular) - RR@10,28.0,30.0,,29.0,18.0,25.0,12.0,22.0,27.0,24.0,25.0,20.0,21.0,13.0,19.0,23.0,15.0,14.0,2.0,10.0,17.0,16.0,8.0,4.0,9.0,5.0,,7.0,1.0,11.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS MARCO (TREC) - NDCG@10,28.0,31.0,27.0,26.0,14.0,22.0,9.0,29.0,30.0,24.0,19.0,16.0,20.0,11.0,25.0,23.0,17.0,10.0,2.0,12.0,21.0,18.0,8.0,4.0,15.0,6.0,,7.0,1.0,13.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN/DailyMail - ROUGE-2,22.0,34.0,38.0,36.0,11.0,26.0,9.0,32.0,25.0,14.0,37.0,29.0,31.0,22.0,28.0,20.0,35.0,22.0,6.0,14.0,17.0,27.0,17.0,13.0,14.0,1.0,4.0,6.0,1.0,17.0,6.0,3.0,,,,,,,,39.0,,,,,,12.0,,,,9.0,,,4.0,21.0,,,,,33.0,,,,30.0,,41.0,40.0,42.0,,,,,,,,,,,,,,,,,,,,,
XSUM - ROUGE-2,37.0,40.0,38.0,36.0,35.0,29.0,33.0,30.0,26.0,22.0,32.0,26.0,28.0,10.0,23.0,20.0,39.0,16.0,20.0,6.0,14.0,16.0,3.0,1.0,4.0,2.0,12.0,5.0,6.0,14.0,9.0,18.0,,,,,,,,8.0,,,,,,11.0,,,,25.0,,,13.0,18.0,,,,,24.0,,,,31.0,,34.0,42.0,41.0,,,,,,,,,,,,,,,,,,,,,
IMDB - EM,59.0,55.0,64.0,63.0,48.0,29.0,45.0,53.0,12.0,42.0,33.0,19.0,33.0,12.0,37.0,18.0,24.0,46.0,4.0,11.0,25.0,37.0,31.0,31.0,21.0,27.0,36.0,12.0,6.0,12.0,19.0,56.0,4.0,1.0,1.0,1.0,25.0,42.0,51.0,33.0,7.0,7.0,12.0,7.0,60.0,7.0,47.0,49.0,40.0,28.0,21.0,42.0,17.0,21.0,62.0,57.0,61.0,52.0,29.0,49.0,39.0,54.0,67.0,40.0,66.0,65.0,57.0,,,,,,,,,,,,,,,,,,,,,
CivilComments - EM,60.0,50.0,61.0,49.0,64.0,48.0,38.0,37.0,39.0,39.0,59.0,51.0,62.0,20.0,56.0,44.0,10.0,57.0,36.0,34.0,27.0,39.0,32.0,20.0,58.0,14.0,12.0,45.0,14.0,39.0,4.0,2.0,7.0,6.0,9.0,18.0,1.0,29.0,3.0,67.0,28.0,13.0,19.0,17.0,8.0,24.0,10.0,24.0,16.0,26.0,23.0,5.0,62.0,45.0,22.0,52.0,32.0,29.0,35.0,29.0,43.0,53.0,66.0,53.0,47.0,55.0,65.0,,,,,,,,,,,,,,,,,,,,,
RAFT - EM,63.0,62.0,56.0,61.0,52.0,36.0,58.0,57.0,46.0,47.0,50.0,53.0,42.0,35.0,40.0,24.0,41.0,45.0,32.0,19.0,17.0,31.0,9.0,5.0,37.0,19.0,14.0,34.0,21.0,33.0,6.0,2.0,7.0,12.0,10.0,10.0,4.0,3.0,1.0,13.0,22.0,43.0,18.0,8.0,25.0,26.0,16.0,29.0,29.0,27.0,44.0,15.0,39.0,48.0,59.0,38.0,28.0,22.0,60.0,54.0,51.0,48.0,67.0,54.0,64.0,66.0,65.0,,,,,,,,,,,,,,,,,,,,,
The Pile - BPB,1.0,5.0,3.0,7.0,2.0,31.0,4.0,11.0,17.0,16.0,9.0,32.0,8.0,18.0,10.0,22.0,28.0,19.0,6.0,21.0,29.0,15.0,24.0,30.0,25.0,20.0,23.0,14.0,12.0,13.0,26.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TwitterAAE - BPB,1.0,8.0,6.0,14.0,2.0,28.0,4.0,17.0,15.0,12.0,9.0,30.0,7.0,21.0,11.0,18.0,29.0,31.0,5.0,22.0,20.0,24.0,25.0,26.0,32.0,15.0,27.0,10.0,3.0,13.0,23.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICE - BPB,1.0,4.0,5.0,6.0,2.0,29.0,3.0,10.0,16.0,14.0,11.0,30.0,8.0,19.0,15.0,18.0,32.0,28.0,7.0,23.0,21.0,9.0,24.0,27.0,31.0,20.0,26.0,13.0,12.0,17.0,25.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLiMP - EM,32.0,18.0,28.0,5.0,30.0,4.0,31.0,7.0,24.0,3.0,15.0,2.0,7.0,19.0,5.0,27.0,17.0,13.0,29.0,25.0,21.0,1.0,23.0,22.0,10.0,14.0,12.0,7.0,25.0,11.0,20.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WikiFact - EM,64.0,63.0,62.0,53.0,61.0,58.0,47.0,37.0,41.0,37.0,34.0,50.0,34.0,43.0,27.0,32.0,44.0,52.0,26.0,21.0,28.0,24.0,20.0,11.0,45.0,14.0,15.0,12.0,10.0,15.0,3.0,5.0,1.0,2.0,9.0,7.0,25.0,30.0,29.0,13.0,4.0,8.0,19.0,6.0,33.0,17.0,45.0,17.0,39.0,49.0,53.0,48.0,36.0,23.0,42.0,22.0,50.0,57.0,30.0,55.0,56.0,40.0,67.0,60.0,58.0,65.0,66.0,,,,,,,,,,,,,,,,,,,,,
Synthetic reasoning (abstract symbols) - EM,66.0,63.0,62.0,51.0,60.0,50.0,46.0,34.0,41.0,29.0,58.0,40.0,65.0,45.0,59.0,24.0,19.0,44.0,60.0,21.0,22.0,27.0,20.0,12.0,32.0,13.0,10.0,31.0,25.0,43.0,6.0,4.0,5.0,9.0,7.0,17.0,2.0,11.0,8.0,3.0,26.0,36.0,14.0,16.0,28.0,18.0,48.0,35.0,37.0,30.0,54.0,47.0,23.0,32.0,52.0,63.0,57.0,55.0,38.0,53.0,49.0,68.0,69.0,56.0,39.0,42.0,67.0,,1.0,15.0,,,,,,,,,,,,,,,,,,
Synthetic reasoning (natural language) - F1,41.0,49.0,52.0,46.0,27.0,28.0,24.0,40.0,38.0,18.0,52.0,34.0,52.0,32.0,52.0,38.0,29.0,26.0,15.0,44.0,33.0,35.0,36.0,42.0,17.0,21.0,14.0,52.0,20.0,52.0,4.0,1.0,7.0,8.0,9.0,12.0,5.0,52.0,3.0,6.0,44.0,31.0,10.0,23.0,11.0,52.0,22.0,13.0,52.0,18.0,52.0,52.0,15.0,52.0,25.0,42.0,52.0,52.0,52.0,52.0,52.0,48.0,51.0,52.0,30.0,47.0,50.0,,2.0,36.0,,,,,,,,,,,,,,,,,,
bAbI - EM,69.0,66.0,66.0,64.0,68.0,47.0,61.0,55.0,40.0,58.0,60.0,41.0,38.0,26.0,63.0,48.0,51.0,59.0,37.0,39.0,16.0,44.0,49.0,21.0,25.0,33.0,45.0,53.0,30.0,32.0,7.0,5.0,1.0,4.0,9.0,10.0,19.0,6.0,23.0,2.0,11.0,8.0,22.0,13.0,17.0,26.0,24.0,13.0,12.0,41.0,18.0,15.0,52.0,36.0,28.0,55.0,46.0,20.0,50.0,43.0,31.0,54.0,70.0,35.0,29.0,57.0,65.0,62.0,3.0,33.0,,,,,,,,,,,,,,,,,,
