,BoolQ(0-shot),BIG-bench hard(3-shot),WinoGrande(zero-shot),WinoGrande(1-shot),Winogrande(5-shot),PIQA(0-shot),SIQA(0-shot),HellaSwag(zero-shot),HellaSwag(10-shot),ARC-e,ARC-c,ARC-c(25-shot),OBQA(zero-shot),MMLU(5-shot),HumanEval(pass@1),MBPP(3-shot),GSM8K(4-shot),MATH(4-shot),TriviaQA(5-shot),NaturalQuestions(0-shot),NaturalQuestions(1-shot),NaturalQuestions(5-shot),NaturalQuestions(64-shot),LAMBADA(0-shot),AGIEval English (3-5 shot),RACE-m,RACE-h,LogiQA,WSC
LLama-2-7B,77.4,32.6,69.2,,73.3,77.9,48.3,77.2,78.6,75.2,45.9,53.7,58.6,45.7,12.2,20.8,16,2.5,72.1,16.4,22.7,25.7,29.5,28.8,26.53,,,30.7,
LLama-2-13B,81.7,39.4,72.8,,75.4,80.8,50.3,80.7,82.1,77.3,49.4,67.6,57,53.8,20.1,30.6,28.81,3.9,79.6,16.1,28,31.2,34.6,,32.29,,,38.1,
LLama-2-70B,85,51.2,80.2,,81.8,82.8,50.7,85.3,87.3,80.2,57.4,85.3,60.2,69.7,30.5,45,63.99,35.2,87.5,25.3,33,39.5,44.3,,63,,,48.8,
Llama 3 8B,75.7,61.1,,,76.1,,,,82.09,,59.47,78.6,,66.6,,,45.79,,78.5,,,,,,45.9,,,,
Llama 3 70B,79,81.3,,,83.1,,,,,,,93,,79.5,,,,,89.7,,,,,,63,,,,
GLM-130B,,,,,,,,,,,,,,44.75,,,,0.3,,,,,,,34.2,,,35.2,88.5
LLaMA-7B,76.5,30.3,70.1,,71.43,78.8,48.9,,77.81,72.8,47.6,50.94,57.2,35.1,10.5,17.7,8.04,2.9,70.4,16.8,18.7,22,26.1,,28.17,,,24.6,
LLaMA-13B,78.1,37,73,,76.24,80.5,50.4,,80.92,74.8,52.7,56.14,56.4,46.9,15.8,22,7.58,3.9,77.1,20.1,23.4,28.1,31.9,,28.22,,,34.9,
LLaMA-33B,83.1,39.8,76,,80.03,81.9,50.4,,84.73,80,57.8,61.43,58.6,57.8,21.7,30.2,14.86,7.1,83.8,24.9,28.3,32.9,36,,,,,37.3,
LLaMA-65B,85.3,43.5,77,,82.56,82.8,52.3,,86.09,78.9,56,63.48,60.2,63.4,23.7,37.7,50.9,10.9,85.9,23.8,31,35,39.9,,34,67.9,51.6,42.1,
GPT-3-175B,60.5,,70.2,73.2,,81,,78.9,,68.8,51.4,,57.6,43.9,,,,,,14.6,23,,29.9,76.2,,58.1,46.8,22.7,
PaLM-540B,88,52.3,,83.7,85.1,82.3,,83.4,,85,60.1,,53.4,69.3,26.2,36.8,56.5,8.8,,,29.3,,,81.8,,69.3,52.1,,
Claude-V3 Haiku,,73.7,,,,,,,,,,89.2,,75.2,75.9,80.4,88.9,,,,,,,,,,,,
Claude-V3 Sonnet,,82.9,,,,,,,,,,93.2,,79,73,79.4,92.3,,,,,,,,,,,,
Claude-V3 Opus,,86.8,,,,,,,,,,96.4,,86.8,84.9,86.4,95,,,,,,,,,,,,
GPT-4,,86.7,,,87.5,,,,95.3,,,96.3,,86.4,67,,92,52.9,,,,,,,56.4,,,49.3,
gpt-3.5,,70.1,,,81.6,,,,85.5,,,85.2,,70,48.1,,57.1,34.1,,,,,,,46.13,,,,
BLOOM-176B,61.5,,71,,72.06,78.1,,53.5,76.41,,,50.43,,30.85,15.52,,6.9,,,,13.1,,,,,,,,
Luminous Base-13B,,,64.6,67,67,77.3,,53.3,,70.3,37,,27.8,,,,,,30.8,,,,,70.2,,,,,38.5
Luminous Extended-30B,,,67.3,68.7,71.3,78.8,,56.9,,75,40.7,,29.4,,,,,,36.2,,,,,72.5,,,,,63.5
Luminous Supreme-70B,,,70,71.7,74.9,79.9,,90,,76.9,44.2,,33,,,,,,41.8,,,,,74,,,,,57.7
OPT-175B,62,,73.6,,,79.1,,59.2,,75.1,41.2,,,,,,,,,,,,,,,,,,
GPT-NeoX-20B,61.5,,66.1,,68.3,77.9,,53.5,73.45,72.3,38,45.73,29,25,15.4,,5.46,,34.7,,,,,72,,,,23,50
GPT-J-6B,,,64,,65.3,75.2,,51.8,66.1,67,34,41.38,28.8,26.78,11.62,,2.96,,28.9,,,,,68.3,,,,20.9,36.5
sheared llama-2.7B,,,64.2,,,75.8,,,70.8,67,,33.4,,25.7,4.9,,2.7,,,,,,26.4,68.4,,,,26.9,
sheared llama-1.3B,,,57.9,,,73.4,,,60.7,61.5,,41.2,,26.4,,,,,,,,,9.6,61,,,,,
INCITE-Base-3B,,,63.5,,64.32,74.6,,,64.8,67.7,,40.2,,27,4.3,,1.8,,,,,,14.9,65.41,,,,27.7,
INCITE-Base-7B,,,65.19,,64.72,76.11,,,71.63,,,46.25,,27.68,,,3.03,,,,,,,70.61,,,,,
TinyLlama-1.1B,,,58.8,,,73.3,,,60.3,55.3,,30.1,36,25.34,,,,,,,,,12.1,58.8,,,,26.3,
OpenLLaMA-3B-v1,,,61.5,,,73.7,,,62.6,67.6,,39.6,,27,0,,2.5,,,,,,18.6,65.4,,,,28.4,
OpenLLaMA-3B-v2,,,63.5,,,76.2,,,67.6,66.5,,39,,26.9,10.4,,2.7,,,,,,17.1,66.5,,,,28.1,
Pythia-1.4B,,,57.4,,58.01,70.9,86.5,,52.86,60.7,,31.2,,25.7,,,1.52,,,,,,8.2,61.6,,,,27.3,38.5
Pythia-2.8B,,,59.7,,60.22,74,88.2,,60.8,64.4,,36.4,,26.9,5.1,,1.7,,,,,,9,64.7,,,,28,
Falcon-7B,73.8,28,67.2,,72.6,80.3,47.2,76.3,78.1,,,47.87,44.6,28,,11.2,5.46,2.3,64.6,15.7,18.1,21,24,74.9,24.1,,,22.3,
Falcon-40B,81.9,37.1,76,,81.8,83,50.1,82.7,85.3,,,61.86,61.2,57,,29.8,21.46,5.5,79.9,26.3,29.5,33.5,35.5,77.3,,,,36.4,
Falcon-180B,87.8,,80.3,,87.1,84.9,,85.9,89,,,69.45,76.4,70.6,35.4,,45.94,,,,,,,79.8,,,56.7,,87.5
Mistral 7B,,57.2,75.3,,78.37,83,,81.3,83.31,80,55.5,59.98,,64.16,30.5,47.5,37.83,13.1,69.9,28.8,,,,,47,,,,
MPT-30B,79,38,71,,,81.9,48.9,79.9,,76.5,50.6,,52,46.9,,32.8,,3.1,73.3,15.8,23,26.6,29.3,,,,,,
MPT-7B,75,31,68.3,,,80.6,48.5,76.1,,70.2,42.6,39.4,51.4,26.8,,22.6,8.64,3,61.2,11.6,17.8,20.8,22.7,,24.83,,,23,
chinchilla,83.7,,74.9,,87.5,81.8,51.3,80.8,,,,,,67.6,,,,,64.1,16.6,,31.5,35.5,77.4,,86.8,82.3,28.7,
Pythia-70M,,,49.2,,51.46,59.8,60.6,,27.29,38.5,16.2,21.59,,25.9,,,0.3,,,,,,,19.2,,,,23.5,36.5
Pythia-160M,,,49.7,,51.54,61.8,72,,30.34,44,20.1,22.78,,24.95,,,0.23,,,,,,,34.2,,,,21,36.5
