,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,[0.04694907]/[0.238],-,-,[0.23446736]/[0.235],-,-,-,[0.25368938]/[0.243],[0.26385814]/[0.241],-,[0.2048951]/[0.279],-,[0.27567673]/[0.254],[0.46270252]/[0.339],-,[0.28205923]/[0.27],[0.0944828]/[0.299],-,[0.34555617]/[0.406],-,[0.39711577]/[0.259],-,[0.54611053]/[0.475],[0.57085798]/[0.48000001],[0.51631673]/[0.318],[0.6548679]/[0.46899999],-,-,[0.58194644]/[0.45200001],[0.37844942]/[0.353],-,[0.46856364]/[0.56899999],-,-,[0.49794431]/[0.572],[0.47628162]/[0.507],[0.4448883]/[0.391],-,-,[0.64771488]/[0.609],[0.53482995]/[0.509],-,-,-,-,[0.43515177]/[0.38],[0.39985221]/[0.43400001],[0.45491725]/[0.431],[0.37722183]/[0.42200001],[0.34406638]/[0.403],[0.38739728]/[0.321],-,[0.43357764]/[0.344],-,[0.25442876]/[0.385],-,-,[0.284198]/[0.257],-,-,[0.25787439]/[0.274],[0.32803263]/[0.275],-,[0.22665442]/[0.236],-,-,[0.12191016]/[0.243]
1,-,-,[0.53766293]/[0.45699999],[0.67232193]/[0.574],[0.55376493]/[0.45100002],-,[0.46407823]/[0.61999998],-,-,-,-,[0.8897856]/[0.68299998],-,-,-,[0.60661607]/[0.72200002],-,-,[0.76585208]/[0.798],[0.64638094]/[0.812],-,[0.92471638]/[0.72200002],[0.76317576]/[0.826],-,-,[0.82966428]/[0.80899998],[0.84180127]/[0.81500002],[0.75687132]/[0.76199998],-,-,[0.83139815]/[0.87699999],-,-,[0.91221164]/[0.87100002],[0.88025465]/[0.87399998],[0.85557456]/[0.81099998],-,-,[0.81907103]/[0.74000001],[0.93112914]/[0.896],-,[0.86630234]/[0.82900002],-,[0.81741652]/[0.70399998],-,-,[0.76802922]/[0.75999998],[0.82374895]/[0.76199998],[0.76248949]/[0.714],-,-,-,-,-,[0.59425745]/[0.77800002],-,[0.69164809]/[0.71299998],-,[0.62168061]/[0.71900001],[0.68738017]/[0.68499998],-,[0.55550815]/[0.71999998],[0.55417557]/[0.],-,[0.52132921]/[0.74599998],-,-
2,[0.42084734]/[0.238],-,-,[0.29792411]/[0.49100001],-,[0.59901181]/[0.54500001],-,[0.51496177]/[0.60400001],-,-,-,-,[0.60245815]/[0.60999999],-,-,[0.6449273]/[0.672],[0.57329454]/[0.662],[0.59906881]/[0.63800001],[0.68617035]/[0.70900001],-,-,-,[0.73887711]/[0.73699998],-,[0.70799636]/[0.67099998],[0.83943]/[0.72200002],[0.71402961]/[0.72799999],[0.73943832]/[0.672],-,-,[0.68632195]/[0.72700002],[0.57891753]/[0.72700002],-,[0.79878442]/[0.75499999],-,-,[0.68736061]/[0.62499999],[0.78990555]/[0.75199998],[0.71403741]/[0.66300002],[0.78583315]/[0.74199998],[0.75351137]/[0.67300002],[0.74904766]/[0.62499999],[0.71287983]/[0.733],[0.70701181]/[0.73199998],[0.46513179]/[0.69099999],[0.71814002]/[0.711],[0.64771908]/[0.64300001],[0.66661269]/[0.69099999],[0.65030948]/[0.711],-,[0.67368189]/[0.66899999],-,[0.74634923]/[0.706],[0.6560489]/[0.66500001],-,[0.5685488]/[0.62100001],-,-,[0.49774377]/[0.60499999],-,-,-,-,[0.46351723]/[0.52800001],-,-,[0.41912657]/[0.25199999]
3,[-0.03213968]/[0.025],[0.17649637]/[0.082],[0.07920541]/[0.078],-,-,-,[0.16186006]/[0.175],[0.20434442]/[0.199],-,-,-,[0.13977963]/[0.193],[0.18525367]/[0.199],-,[0.24516253]/[0.232],[0.18762154]/[0.233],[0.2505982]/[0.216],-,[0.30745958]/[0.22900001],-,[0.29253749]/[0.29300001],-,[0.33495453]/[0.35599999],[0.2688785]/[0.38500001],[0.29893792]/[0.29699999],[0.41815285]/[0.384],-,-,[0.44948991]/[0.37200001],-,[0.34809545]/[0.38300001],-,[0.415616]/[0.458],[0.35238962]/[0.43100001],-,[0.36965391]/[0.37600001],[0.31463502]/[0.34800001],-,-,[0.38237531]/[0.41299999],-,[0.35086626]/[0.377],-,[0.27414846]/[0.34699999],[0.23330862]/[0.34600001],[0.2845964]/[0.29300001],[0.2654784]/[0.28700001],-,[0.21106766]/[0.34600001],[0.25385625]/[0.32999999],[0.24617217]/[0.29699999],[0.0741305]/[0.232],[0.26431016]/[0.14799999],-,[0.07200571]/[0.26599999],-,-,-,[0.18803442]/[0.202],[0.15532511]/[0.20699999],[0.14001408]/[0.175],-,[0.1856925]/[0.039],-,[0.03434377]/[0.204],-,[-0.0130447]/[0.068]
4,-,[0.30812397]/[0.36499999],[0.29767995]/[0.309],-,[0.37897129]/[0.33],[0.47788255]/[0.559],-,[0.36313076]/[0.552],-,-,-,[0.64945224]/[0.596],[0.5167953]/[0.51699999],-,-,[0.59615848]/[0.57799999],[0.48209852]/[0.62100001],[0.60184889]/[0.596],-,-,-,-,[0.6958378]/[0.63899998],-,[0.68452761]/[0.61499999],[0.85923605]/[0.64199999],-,-,[0.66576068]/[0.76],[0.72488759]/[0.59499998],[0.71331506]/[0.71299999],-,[0.67507661]/[0.67399999],-,[0.76246693]/[0.68700001],[0.75311075]/[0.63699999],-,[0.74259543]/[0.66599998],[0.64584274]/[0.62400002],-,-,-,[0.71604957]/[0.69700001],-,-,-,-,[0.68472969]/[0.61100001],[0.58705688]/[0.61400002],-,[0.56333708]/[0.58900001],-,[0.64041402]/[0.64199999],[0.51921914]/[0.60900002],[0.36056313]/[0.59200002],[0.57127018]/[0.57900001],[0.58779052]/[0.586],-,[0.49649119]/[0.56799998],[0.49326482]/[0.52],[0.43348023]/[0.581],-,[0.22865954]/[0.19],[0.46403026]/[0.53899999],[0.59928305]/[0.34899999],[0.54159419]/[0.47699998],[0.10905438]/[0.227]
5,-,-,-,[0.21587757]/[0.27299999],[0.21432163]/[0.284],-,-,-,-,-,[0.39313191]/[0.279],-,[0.35613445]/[0.314],-,[0.36913224]/[0.33799999],[0.31646838]/[0.362],-,-,-,[0.41741813]/[0.392],-,-,-,-,[0.41110353]/[0.36000001],-,[0.36777678]/[0.43099999],[0.51793977]/[0.374],[0.5660006]/[0.432],-,-,[0.56739606]/[0.525],-,-,-,-,[0.45189673]/[0.485],[0.46823589]/[0.39000001],-,[0.46352829]/[0.47300001],[0.464515]/[0.30700001],[0.3918386]/[0.37099999],[0.38059012]/[0.32700001],-,-,-,-,[0.41944773]/[0.40599999],-,[0.36509126]/[0.43300001],[0.37374146]/[0.33799999],-,-,-,[0.29368022]/[0.27000002],[0.43933764]/[0.33200001],-,[0.33213184]/[0.259],[0.30025401]/[0.334],[0.35666255]/[0.309],-,[0.28173928]/[0.31099999],[-0.0488364]/[0.121],-,-,[0.27754093]/[0.116],[0.26155844]/[0.162]
6,-,-,[0.43637447]/[0.48299999],-,[0.52581684]/[0.56100001],-,[0.74932099]/[0.67599999],[0.56167732]/[0.68200002],-,-,-,[0.82024039]/[0.71799999],[0.70421554]/[0.72599999],-,-,-,-,-,[0.83922655]/[0.75199998],-,[0.73671663]/[0.76499998],[0.74150849]/[0.77500001],-,-,-,[0.90064112]/[0.79900002],-,[0.8176905]/[0.80999999],[0.82551745]/[0.81099998],-,-,[0.90826406]/[0.822],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,-,-,-,[0.41413846]/[0.438],[0.37652305]/[0.452],[0.47711805]/[0.51399999],[0.4243433]/[0.51399999],[0.46010194]/[0.50199999],[0.49348166]/[0.51399999],[0.50564534]/[0.478],[0.50485438]/[0.49600002],[0.58314956]/[0.52399998],[0.50664854]/[0.53799999],-,[0.5183266]/[0.542],[0.46323067]/[0.52000001],-,-,-,[0.49916517]/[0.56000001],-,-,-,-,[0.54829011]/[0.58600001],-,-,-,[0.62464381]/[0.582],[0.51612344]/[0.54999998],[0.57016904]/[0.594],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,[0.20981517]/[0.232],-,[0.32351902]/[0.217],-,[0.21531114]/[0.233],[0.22816878]/[0.199],-,-,-,[0.02000973]/[0.167],[0.04326603]/[0.19],[0.24989949]/[0.216],-,[0.33557514]/[0.245],-,-,[0.20713706]/[0.205],[0.10886744]/[0.201],-,[0.26284731]/[0.306],[0.27569551]/[0.175],-,[0.3424322]/[0.348],-,[0.36330121]/[0.25],[0.51972561]/[0.251],-,[0.19233622]/[0.169],[0.46012673]/[0.269],-,[0.46981471]/[0.60999999],[0.39333984]/[0.593],-,-,[0.30938563]/[0.42199999],[0.3458984]/[0.33],[0.43578295]/[0.339],-,-,-,[0.36302581]/[0.353],[0.2793282]/[0.38400001],-,[0.33759196]/[0.231],[0.29343886]/[0.385],[0.29266343]/[0.222],[0.31733191]/[0.292],-,[0.28214891]/[0.324],-,[0.29479199]/[0.27999999],-,-,-,-,-,[0.14663774]/[0.205],[0.1763527]/[0.208],[0.17520801]/[0.182],[0.16002562]/[0.277],-,[0.24352958]/[0.213],-,-,-,[0.14717419]/[0.133],-
9,[-0.01331316]/[0.13399999],[0.14996499]/[0.102],-,-,[0.07423038]/[0.208],-,-,-,-,[0.09021441]/[0.158],-,[0.14757022]/[0.184],-,-,-,-,-,[0.16841498]/[0.237],[0.24118895]/[0.434],-,[0.20698147]/[0.21000001],[0.15759671]/[0.21100001],-,[0.29877862]/[0.39800001],-,-,-,-,-,[0.2486874]/[0.273],[0.38499304]/[0.42100001],[0.52401324]/[0.36799999],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
