,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,-,[0.33334067]/[0.243],[0.23235869]/[0.264],-,[0.25663654]/[0.229],[0.27592966]/[0.249],[0.40703915]/[0.237],[0.30900651]/[0.243],[0.23553441]/[0.241],-,-,[0.29073009]/[0.276],[0.25506006]/[0.254],-,[0.33554738]/[0.324],-,-,-,[0.3269815]/[0.406],[0.39805734]/[0.44500001],[0.3002464]/[0.259],[0.39296864]/[0.42200001],-,-,-,[0.37149895]/[0.46899999],-,-,-,[0.3475647]/[0.353],[0.49749645]/[0.56800001],[0.46289801]/[0.56899999],[0.51971546]/[0.58200001],-,[0.44921642]/[0.572],-,[0.40261704]/[0.391],[0.39364367]/[0.53100001],-,-,-,[0.42243402]/[0.49699999],-,[0.36849235]/[0.43699999],-,-,-,-,-,-,[0.35508043]/[0.321],[0.3727509]/[0.363],[0.27305599]/[0.344],[0.35757081]/[0.321],-,[0.38299015]/[0.286],-,-,[0.3888836]/[0.27],[0.35906615]/[0.263],[0.29031807]/[0.274],-,[0.27969596]/[0.407],-,[0.52128339]/[0.291],-,-
1,[0.50805376]/[0.46399999],-,-,[0.43688621]/[0.574],-,-,[0.83690492]/[0.61999998],-,[0.62366426]/[0.68299998],-,[0.69232933]/[0.65900002],[0.67750779]/[0.68299998],-,[0.79367088]/[0.742],[0.76328684]/[0.72499998],-,[0.71430869]/[0.70399998],-,-,-,-,-,[0.7724196]/[0.826],[0.79854858]/[0.82900002],[0.81483072]/[0.79299999],-,[0.92009241]/[0.81500002],[0.93710246]/[0.76199998],-,[0.74731307]/[0.71799998],[0.99839049]/[0.87699999],[0.82902923]/[0.88099998],-,[1.00941386]/[0.87100002],[0.86751038]/[0.87399998],[0.99607129]/[0.81099998],[0.90670422]/[0.86999999],[0.75652583]/[0.861],[0.8752274]/[0.74000001],-,[0.93336833]/[0.819],[0.70686531]/[0.82900002],-,[0.87179288]/[0.70399998],-,[0.8489884]/[0.77500001],[0.78318487]/[0.75999998],[0.80831602]/[0.76199998],-,[0.92495874]/[0.75099999],[0.73886588]/[0.756],[0.86511395]/[0.70500001],[0.77811271]/[0.784],-,[0.60408822]/[0.77800002],[0.72431458]/[0.75299998],[0.66867517]/[0.71299998],-,[0.75414388]/[0.71900001],[0.66802399]/[0.68499998],-,-,[0.36770075]/[0.],[0.65725355]/[0.63100002],-,[0.28633446]/[0.76100001],[0.3417463]/[0.63399998]
2,[0.40469682]/[0.238],-,[0.2936287]/[0.29399999],-,[0.42472143]/[0.429],-,-,-,[0.61685812]/[0.623],-,[0.51426636]/[0.559],[0.61428544]/[0.59900001],-,-,[0.63483202]/[0.62499999],[0.69183639]/[0.672],-,[0.64484373]/[0.63800001],[0.66272561]/[0.70900001],-,[0.70041207]/[0.69500002],-,[0.73820111]/[0.73699998],-,-,[0.70676067]/[0.72200002],[0.69654174]/[0.72799999],-,[0.72424881]/[0.75199998],[0.71742593]/[0.65],-,-,-,-,-,[0.74215451]/[0.74400002],[0.78998752]/[0.62499999],[0.64180186]/[0.75199998],[0.68447093]/[0.66300002],[0.46194871]/[0.74199998],[0.71788681]/[0.67300002],-,-,[0.7167045]/[0.73199998],-,[0.68440512]/[0.711],[0.59623669]/[0.64300001],-,[0.72092537]/[0.711],[0.72613246]/[0.49600001],-,[0.70017337]/[0.63800001],[0.63442796]/[0.706],-,-,[0.60491719]/[0.62100001],-,[0.62613495]/[0.63800001],-,[0.52204543]/[0.55500001],[0.53500327]/[0.596],[0.50849054]/[0.47600001],[0.29033815]/[0.151],[0.57539082]/[0.52800001],-,[0.31893788]/[0.086],-
3,[0.13382804]/[0.025],[0.12056373]/[0.082],-,-,[0.12396235]/[0.07],-,[0.25932096]/[0.175],-,[0.15646829]/[0.19],[0.19807407]/[0.21],[0.15312729]/[0.177],[0.19629625]/[0.193],[0.17425357]/[0.199],-,-,-,-,-,-,[0.37124144]/[0.33700001],[0.25978485]/[0.29300001],-,-,-,-,[0.26792507]/[0.384],[0.33371088]/[0.28799999],[0.26649137]/[0.36100001],-,[0.29049813]/[0.31199999],-,[0.30515072]/[0.40599999],-,[0.39749421]/[0.43100001],[0.31978231]/[0.36499999],[0.36794464]/[0.37600001],-,[0.2767377]/[0.408],[0.39162738]/[0.39],[0.36291807]/[0.41299999],-,[0.28412031]/[0.377],-,[0.27903886]/[0.34699999],[0.32778144]/[0.34600001],[0.2683871]/[0.29300001],[0.2830501]/[0.28700001],[0.32708413]/[0.33700001],-,[0.30014283]/[0.32999999],[0.25383535]/[0.29699999],[0.28511552]/[0.232],-,-,[0.17359697]/[0.26599999],[0.25865981]/[0.285],[0.21953149]/[0.25],[0.18455681]/[0.203],[0.26545138]/[0.202],[0.2085545]/[0.20699999],-,[0.17363862]/[0.19400001],[0.14075132]/[0.039],-,-,-,-
4,[0.34232581]/[0.149],-,-,-,-,-,-,-,[0.56209946]/[0.532],[0.52671003]/[0.56099999],[0.49133537]/[0.50399998],[0.55051065]/[0.596],-,[0.60428429]/[0.58900001],-,[0.60536316]/[0.57799999],-,-,[0.60184999]/[0.71700002],-,[0.59120915]/[0.59499998],[0.59138181]/[0.62499999],[0.66005063]/[0.63899998],[0.62539203]/[0.66899999],[0.63259213]/[0.61499999],-,[0.66078179]/[0.68599999],-,[0.57000539]/[0.76],[0.60497277]/[0.59499998],-,[0.73597453]/[0.77],[0.65778178]/[0.67399999],[0.72074904]/[0.672],-,[0.70196086]/[0.63699999],-,[0.59708741]/[0.66599998],[0.69840703]/[0.62400002],-,[0.67621914]/[0.67500001],[0.58622957]/[0.66599998],[0.66911776]/[0.69700001],-,[0.62738234]/[0.68599999],-,[0.56144522]/[0.63399998],-,-,-,[0.58292082]/[0.58900001],-,[0.61872258]/[0.64199999],-,[0.42415131]/[0.59200002],-,[0.55149442]/[0.586],-,[0.5568994]/[0.56799998],[0.48577223]/[0.52],[0.47360981]/[0.581],[0.54336259]/[0.449],-,-,-,[0.26717798]/[0.47699998],[0.27748814]/[0.227]
5,[0.23149188]/[0.176],-,-,-,-,[0.29089973]/[0.33000001],[0.35018686]/[0.35799998],-,-,-,-,-,-,-,[0.3147247]/[0.33799999],[0.32714536]/[0.362],[0.36513031]/[0.36099999],-,[0.3486663]/[0.37500001],[0.3798816]/[0.392],[0.35155897]/[0.35799998],[0.31228355]/[0.36000001],-,[0.44643795]/[0.43500001],-,-,[0.39495119]/[0.43099999],-,-,-,-,-,[0.45315475]/[0.48399999],-,[0.44187799]/[0.42300001],-,-,-,[0.47792516]/[0.51199999],[0.27283514]/[0.47300001],[0.40784887]/[0.30700001],-,-,[0.37454192]/[0.39300001],[0.39922039]/[0.40300001],-,[0.34538096]/[0.392],[0.37514671]/[0.40599999],[0.42323073]/[0.347],[0.35982834]/[0.43300001],-,[0.3927943]/[0.26],[0.35462469]/[0.27200001],-,-,-,[0.3309483]/[0.33599999],-,-,[0.30316377]/[0.309],[0.27996055]/[0.31299999],[0.28358059]/[0.31099999],-,[0.32001741]/[0.29599999],[0.04666854]/[0.14399999],[0.17859591]/[0.116],-
6,-,[0.36946516]/[0.43500001],[0.33653296]/[0.48299999],-,[0.54020579]/[0.56100001],-,[0.69046984]/[0.67599999],-,[0.72403211]/[0.7],[0.70042391]/[0.70400001],[0.58429288]/[0.70599998],-,-,[0.76338863]/[0.72900001],-,[0.76439376]/[0.73899999],[0.74425466]/[0.74399998],[0.71108959]/[0.74500002],[0.77117281]/[0.75199998],-,-,-,[0.81906647]/[0.78099999],-,[0.72741737]/[0.79100002],[0.8191235]/[0.79900002],-,[0.81687189]/[0.80999999],-,-,-,[0.8194089]/[0.822],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,[0.31654913]/[0.34599999],[0.30065066]/[0.38000002],[0.30227388]/[0.348],[0.38798468]/[0.438],-,[0.4837095]/[0.51399999],-,[0.46883575]/[0.50199999],-,-,[0.41832153]/[0.49600002],-,-,-,[0.51153346]/[0.542],-,-,[0.51287304]/[0.53400001],-,[0.50737308]/[0.56000001],[0.52923638]/[0.53400001],[0.50531697]/[0.58600001],-,-,[0.51484586]/[0.58600001],[0.58252266]/[0.56200002],[0.57841145]/[0.55800001],-,[0.57963844]/[0.582],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,[0.1776324]/[0.232],[0.30347275]/[0.215],-,-,-,-,[0.28425262]/[0.257],-,[0.17446074]/[0.197],[0.15884403]/[0.167],[0.17240593]/[0.19],-,[0.16670793]/[0.215],-,-,[0.18176184]/[0.193],[0.2629941]/[0.205],-,-,[0.26459634]/[0.306],-,-,-,-,-,[0.27263512]/[0.251],[0.33590466]/[0.368],-,[0.28831312]/[0.269],-,[0.38859687]/[0.60999999],-,[0.42111522]/[0.554],[0.35310775]/[0.50800001],-,-,[0.35618265]/[0.339],-,-,[0.38447463]/[0.616],-,-,[0.20592645]/[0.234],-,[0.35460283]/[0.385],[0.26235838]/[0.222],[0.31646633]/[0.292],[0.28639486]/[0.27199999],[0.39212163]/[0.324],-,[0.22616264]/[0.27999999],[0.28195322]/[0.243],-,[0.22983824]/[0.221],[0.32866096]/[0.243],[0.27381297]/[0.234],[0.22685296]/[0.205],[0.14044066]/[0.208],[0.2802895]/[0.182],[0.27787091]/[0.277],-,-,[0.07033755]/[0.37700001],-,-,[0.22539127]/[0.133],[0.23192713]/[0.202]
9,[0.16986842]/[0.13399999],[0.18894564]/[0.102],-,-,-,-,[0.25567514]/[0.27099999],[0.16500793]/[0.16200001],-,[0.17561986]/[0.158],-,[0.21282991]/[0.184],[0.17296808]/[0.175],-,-,[0.21446013]/[0.16100001],-,[0.27707554]/[0.237],[0.21333407]/[0.434],[0.28125099]/[0.28500001],-,-,[0.33389776]/[0.293],-,-,[0.26163748]/[0.377],-,[0.20512241]/[0.315],[0.33595671]/[0.472],[0.23778487]/[0.273],[0.34958894]/[0.42100001],[0.42776249]/[0.36799999],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
